title,year,genres,cast,synopsis
Avatar,2009.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",,"Un marine paraplégique, envoyé sur la lune Pandora pour une mission unique, est tiraillé entre suivre ses ordres et protéger le monde qu'il considère dorénavant comme le sien."
Pirates of the Caribbean: At World's End,2007.0,"['Adventure', 'Fantasy', 'Action']",,"L'âge d'or de la piraterie touche à sa fin. Même le terrifiant Vaisseau Fantôme et son capitaine maudit servent Lord Cutler Beckett. Il écume désormais les sept mers, massacrant sans pitié les pirates de tous bords. Une seule chance de résister à Beckett et à son armada : Rassembler les Neuf Seigneurs de la Cour des Frères."
Spectre,2015.0,"['Action', 'Adventure', 'Crime']",,"Un message cryptique surgi du passé entraîne James Bond dans une mission très personnelle à Mexico puis à Rome, où il rencontre Lucia Sciarra, la très belle veuve d'un célèbre criminel. Bond réussit à infiltrer une réunion secrète révélant une organisation redoutable baptisée Spectre. Pendant ce temps, à Londres, Max Denbigh, le nouveau directeur du Centre pour la Sécurité Nationale, remet en cause les actions de Bond et l'existence même du MI6, dirigé par M. Bond persuade Moneypenny et Q de l'a"
The Dark Knight Rises,2012.0,"['Action', 'Crime', 'Drama', 'Thriller']",,"Afin que l'image de l'ex-procureur Harvey Dent reste un modèle du genre pour les citoyens de Gotham City, Batman a endossé les crimes de ce dernier et a été chassé de la ville par les autorités.  Huit ans plus tard, alors que Gotham City est de nouveau sûre, le commissaire Gordon tombe sur un complot qui vise à détruire la ville de l'intérieur.  Il fait appel à Batman. Ce dernier devra faire face à la mystérieuse Selina Kyle et à Bane, un adversaire mortel, qui veut mettre en pièce le symbole Ba"
John Carter,2012.0,"['Action', 'Adventure', 'Science Fiction']",,"L'ancien capitaine John Carter, las de la guerre, se retrouve mystérieusement transporté sur la planète Mars, où il se retrouve impliqué malgré lui dans un terrible conflit entre les habitants de cette planète, y compris Tars Tarkas et la fascinante princesse Dejah Thoris. Dans un monde au bord du gouffre, Carter redécouvre son humanité en prenant conscience que la survie de Barsoom et de ses habitants est entre ses mains."
Spider-Man 3,2007.0,"['Fantasy', 'Action', 'Adventure']",,"Peter Parker a retrouvé un équilibre de vie et souhaite épouser Mary Jane. Lors d'une nuit au parc, alors que Peter et Mary Jane sont ensemble, une petite météorite tombe près du lieu où ils se trouvent. Elle laisse échapper une matière visqueuse qui s'attache discrètement à la mobylette de Peter. Pendant ce temps, Flint Marko s'appelle de prison. Lors de sa fuite, il tombe dans un accélérateur de particules qui aime son corps avec le sable. Le meilleur ami de Peter, Harry Osborn, veut se venger"
Tangled,2010.0,"['Animation', 'Family']",,"Quand le bandit le plus recherché du royaume, Flynn Rider, se cache dans une mystérieuse tournée, il est pris en otage par Raiponce, une jolie adolescente avec des cheveux de 20 mètres. La curieuse ravisseuse de Flynn, qui cherche à s'échanger de la tournée où elle est enfermée depuis des années, conclut un accord avec le voleur et le duo improbable se lance dans une aventure pleine d'action, en compagnie du cheval Maximus, d'un camélon surprotecteur du nom de Pascal, et d'une bande de voyous."
Avengers: Age of Ultron,2015.0,"['Action', 'Adventure', 'Science Fiction']",,"Alors que Tony Stark tente de relancer un programme de maintien de la paix jusque-là suspendu, les choses tournent mal et les super-héros Iron Man, Captain America, Thor, Hulk, Black Widow et Hawkeye vont devoir à nouveau unir leurs forces pour combattre le plus puissant de leurs adversaires : le terrible Ultron, un être technologique terrifiant qui s'est juré d'éradiquer l'espèce humaine. Afin d'éviter cela d'accomplir ses sombres desseins, des alliances inattendues se scellent, les entra"
Harry Potter and the Half-Blood Prince,2009.0,"['Adventure', 'Fantasy', 'Family']",,"Voldemort a renforcé son emprise sur le monde des sorciers aussi bien que sur celui des Moldus, et Poudlard n'est plus un endroit sûr. Harry est d'ailleurs persuadé que le danger rôde à l'intérieur même de l'école mais Dumbledore est plus soucieux de le préparer pour la bataille finale qu'il a envoyé approcher à grands pas. Ensemble, ils tentent de trouver le talon d'Achille de Voldemort et, à cette fin, Dumbledore fait appel au professeur Horace Slughorn, qui détient des informations cruciales."
Batman v Superman: Dawn of Justice,2016.0,"['Action', 'Adventure', 'Fantasy']",,"Craignant que Superman n'abuse de sa toute‐puissance, le Chevalier noir décide de l'affronter : le monde a ‐t‐il plus besoin d'un super‐héros aux pouvoirs sans limite ou d'un justicier à la force redoutable mais d'origine humaine ? Pendant ce temps‐là, une terrible menace se profile à l'horizon…"
Superman Returns,2006.0,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",,"Alors qu'un ennemi de longue date, Lex Luthor, tente de l'affaiblir en lui dérobant tous ses superpouvoirs, Superman doit faire face à un problème d'un autre genre : Loïs Lane, la femme qu'il aime, est partie mener une nouvelle vie loin de lui. Mais l'a‐t‐elle vraiment oubliée ? Le retour de Superman sera donc ponctué de nombreux défis puisqu'il devra se rapprocher de son amour tout en retrouvant sa place au sein d'une société qui semble ne plus avoir besoin de lui. En tentant de protéger le lundi"
Quantum of Solace,2008.0,"['Adventure', 'Action', 'Thriller', 'Crime']",,"Même s'il lutte pour ne pas faire de sa dernière mission une affaire personnelle, James Bond est décidé à traquer ceux qui ont forcé Vesper au trahir. En interrogatoire Mr White, 007 et M apprennent que l'organisation à laquelle il appartient est bien plus complexe et dangereuse que tout ce qu'ils avaient imaginé… Bond croise alors la route de la belle et pugnace Camille, qui cherche à se venger elle aussi. Elle le conduit sur la piste de Dominic Greene, un homme d'affaires impitoyable et un des"
Pirates of the Caribbean: Dead Man's Chest,2006.0,"['Adventure', 'Fantasy', 'Action']",,"Le pirate Jack Sparrow est confronté à son passé. Treize ans auparavant, il signait un pacte avec Davey Jones, le maléfique maître des sept mers. En échange de son âme, ce dernier lui promettait le commandement du mythique Black Pearl… Aujourd'hui, Jones vient donc récupérer sa dette."
The Lone Ranger,2013.0,"['Action', 'Adventure', 'Western']",,"Tonto, guerrier indien, raconte l'histoire méconnue qui a transformé John Reid, un ancien défenseur de la loi, en un justicier légendaire. Ces deux héros à part vont devoir apprendre à faire équipe pour affronter le pire de la cupidité et de la corruption."
Man of Steel,2013.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",,"Un petit garçon découvre qu'il possède des pouvoirs surnaturels et qu'il n'est pas né sur Terre. Plus tard, il s'engage dans un périple afin de comprendre d'où il vient et pourquoi il a été envoyé sur notre planète. Mais il doit devenir un héros s'il veut sauver le monde de la destruction totale et incarcérer l'espoir pour toute l'humanité."
The Chronicles of Narnia: Prince Caspian,2008.0,"['Adventure', 'Family', 'Fantasy']",,"Un an après les incroyables événements du Monde de Narnia – Chapitre 1, les nouveaux rois et reines de Narnia sont de retour dans ce royaume magique. Mais à Narnia, plus de 1 000 ans se sont écoulées. L'Âge d'Or du royaume est depuis longtemps révolu, et ce n'est plus maintenant qu'une légende. Les animaux parlants et les créatures mythiques ont disparu, ils ne sont plus évoqués que comme les héros d'un folklore que l'on perpétue chez les Telmarins, une race d'humains dirigée par le maléfique"
The Avengers,2012.0,"['Science Fiction', 'Action', 'Adventure']",,"Lorsque la sécurité et l'équilibre de la planète sont menacés par un ennemi d'un genre nouveau, Nick Fury, le directeur du SHIELD, l'agence internationale du maintien de la paix, réunit une équipe pour empêcher le monde de basculer dans le chaos. Partout sur Terre, le recrutement des nouveaux héros dont le monde a besoin commence…"
Pirates of the Caribbean: On Stranger Tides,2011.0,"['Adventure', 'Action', 'Fantasy']",,"Dans cette histoire pleine d'action, où vérité, trahison, jeunesse éternelle et mort forment un cocktail explosif, le capitaine Jack Sparrow retrouve une femme qu'il a connue autrefois. Leurs liens sont‐ils faits d'amour ou, cette femme n'est‐elle qu'une aventurière sans scrupules qui cherche à l'utiliser pour découvrir la légendaire Fontaine de Jouvence ? Lorsqu'elle l'oblige à embarquer à bord du Queen Anne's Revenge, le bateau du terrible pirate Barbe-Noire, Jack ne sait plus ce qu'il doit cra"
Men in Black 3,2012.0,"['Action', 'Comedy', 'Science Fiction']",,"En 15 ans de carrière chez les Men In Black, l'agent J a vu beaucoup de phénomènes inexplicables… Mais rien, pas même le plus étrange des étrangers, ne le laisse aussi perplexe que son partenaire, le sarcastique K. Lorsque la vie de K et le destin de la Terre sont menacés, l'agent J décide de remonter le temps pour remettre les choses en ordre. Il va donc découvrir qu'il existe certains secrets de l'univers que K ne lui a jamais révélés. Il est cette fois obligé de faire équipe avec l'agent K, plu"
The Hobbit: The Battle of the Five Armies,2014.0,"['Action', 'Adventure', 'Fantasy']",,"Atteignant enfin la Montagne Solitaire, Thorin et les Nains, aidés par Bilbon le Hobbit, ont réussi à récupérer leur royaume et leur trésor. Ils ont également réveillé le dragon Smaug qui déchaîne désormais sa colère sur les habitants de Lac-ville. À présent, les Nains, les Elfes, les Humains mais aussi les Wrags et les Orques menés par le Nécromancien, convoitent les richesses de la Montagne Solitaire."
The Amazing Spider-Man,2012.0,"['Action', 'Adventure', 'Fantasy']",,"Abandonné par ses parents lorsqu'il était enfant, Peter Parker a été élevé par son oncle Ben et sa tante May. Il est aujourd'hui au lycée, mais il a du mal à s'intégrer. Comme la plupart des adolescents de son âge, Peter essaie de comprendre qui il est et d'accepter son parcours. Amoureux pour la première fois, lui et Gwen Stacy découvrent les sentiments, l'engagement et les secrets. En retrouvant une mystérieuse mallette ayant appartenu à son père, Peter entame une quête pour élucider la dispar"
Robin Hood,2010.0,"['Action', 'Adventure']",,"À l'aube du treizième siècle, Robin Longstride, humble archer au service de la Couronne d'Angleterre, assiste, en Normandie, à la mort de son monarque, Richard Cœur de Lion, tout juste rentré de la Troisième Croisade et venu défendre son royaume contre les Français. De retour en Angleterre et alors que le prince Jean, frère cadet de Richard et aussi inepte à gouverner qu'obnubilé par son personnel d'enrichissement, prend possession du trône, Robin se rend à Nottingham où il découvre l'étendue de l '"
The Hobbit: The Desolation of Smaug,2013.0,"['Adventure', 'Fantasy']",,"Bilbon Sacquet est entraîné dans une quête épique pour reconquérir le Royaume perdu des Nains d'Erebor et l'arracher aux griffes de l'effroyable dragon Smaug. Accompagné de 13 Nains et du Magicien Gandalf le Gris, Bilbon s'introduit dans la Montagne Solitaire armée du « précieux » anneau de Gollum et de Dard, sa lame affûtée."
The Golden Compass,2007.0,"['Adventure', 'Fantasy']",,"Lyra, 12 ans, est une orpheline rebelle qui vit à Jordan College, un établissement de l'Université d'Oxford, dans un monde parallèle qui ressemble au nôtre mais qui a évolué de manière un peu différente. Elle a pour compagnon Pantalaimon, son dæmon, un être capable de prendre de nombreuses formes animales. Le monde de Lyra est en train de changer. L'organisme gouvernemental global, le Magistère, resserre son emprise sur le peuple. Ses sombres activités l'ont poussé à faire enlever des enfants pa"
King Kong,2005.0,"['Adventure', 'Drama', 'Action']",,"Carl Denham, un cinéaste en quête de notoriété, prépare un tournage dans les mers du Sud. Il embarque avec toute son équipe à bord du « Venture ». Bien que les acteurs soient persuadés de tourner un film d'amour et d'aventures, le réalisateur espère secrètement que le voyage les conduira à Skull Island (l'île du Crâne), une terre inexplorée où, dit-on, les indigènes adorent une créature mystérieuse et terrifiante. Les foules, pense-t-il, se presseront pour découvrir les images qu'il rapportera de"
Titanic,1997.0,"['Drama', 'Romance', 'Thriller']",,"Southampton, le 10 avril 1912. Le paquebot le plus grand et le plus moderne du monde, réputé pour son insubmersibilité, le « Titanic », appareille pour son premier voyage. Quatre jours plus tard, il heurte un iceberg. À son bord, un artiste pauvre et une grande bourgeoise tombent amoureux."
